serial_num,model_id,runtime_name,task_type,input_resolution,model_path,metric_name,metric_8bits,metric_32bits,metric_reference,num_subgraphs,infer_time_core_ms,ddr_transfer_mb,run_dir,artifact_name
50,cl-6160,onnxrt,classification,224,regnet_x_400mf_tv.onnx,accuracy_top1%,72.23,72.7,72.834,1,0,0,cl-6160_onnxrt_imagenet1k_torchvision_regnet_x_400mf_tv_onnx,ONR-CL-6160-regNetX-400mf
51,cl-6170,onnxrt,classification,224,regnet_x_800mf_tv.onnx,accuracy_top1%,74.94,75.34,75.212,1,0,0,cl-6170_onnxrt_imagenet1k_torchvision_regnet_x_800mf_tv_onnx,ONR-CL-6170-regNetX-800mf
52,cl-6180,onnxrt,classification,224,regnet_x_1_6gf_tv.onnx,accuracy_top1%,76.75,76.62,77.04,1,0,0,cl-6180_onnxrt_imagenet1k_torchvision_regnet_x_1_6gf_tv_onnx,ONR-CL-6180-regNetX-1.6gf
53,cl-6360,onnxrt,classification,224,regnetx-200mf.onnx,accuracy_top1%,67.31,68.62,68.9,1,0,0,cl-6360_onnxrt_imagenet1k_fbr-pycls_regnetx-200mf_onnx,ONR-CL-6360-regNetx-200mf
54,cl-6440,onnxrt,classification,224,hardnet68.onnx,accuracy_top1%,76.29,76.81,76.5,1,0,0,cl-6440_onnxrt_imagenet1k_pingolh-hardnet_hardnet68_onnx,ONR-CL-6440-harDNet68
55,cl-6450,onnxrt,classification,224,hardnet85.onnx,accuracy_top1%,77.41,77.98,78,1,0,0,cl-6450_onnxrt_imagenet1k_pingolh-hardnet_hardnet85_onnx,ONR-CL-6450-harDNet85
56,cl-6460,onnxrt,classification,224,hardnet68ds.onnx,accuracy_top1%,72.06,74.64,74.3,1,0,0,cl-6460_onnxrt_imagenet1k_pingolh-hardnet_hardnet68ds_onnx,ONR-CL-6460-harDNet68ds
57,cl-6470,onnxrt,classification,224,hardnet39ds.onnx,accuracy_top1%,69.22,72.39,72.1,1,0,0,cl-6470_onnxrt_imagenet1k_pingolh-hardnet_hardnet39ds_onnx,ONR-CL-6470-harDNet39ds
58,cl-6480,onnxrt,classification,224,mobilenet_v3_lite_small_20210429.onnx,accuracy_top1%,59.35,63.35,62.688,1,0,0,cl-6480_onnxrt_imagenet1k_edgeai-tv_mobilenet_v3_lite_small_20210429_onnx,ONR-CL-6480-mobv3-lite-small
59,cl-6488,onnxrt,classification,224,mobilenet_v3_lite_small_qat-p2_20210429.onnx,accuracy_top1%,62.03,46.16,61.836,1,0,0,cl-6488_onnxrt_imagenet1k_edgeai-tv_mobilenet_v3_lite_small_qat-p2_20210429_onnx,ONR-CL-6488-mobv3-lite-small-qat
60,cl-6490,onnxrt,classification,224,mobilenet_v3_lite_large_20210507.onnx,accuracy_top1%,71.03,72.28,72.122,1,0,0,cl-6490_onnxrt_imagenet1k_edgeai-tv_mobilenet_v3_lite_large_20210507_onnx,ONR-CL-6490-mobv3-lite-large
61,de-7310,onnxrt,depth_estimation,256x256,midas-small.onnx,accuracy_delta_1%,84.728251,85.664616,86.4,1,0,0,de-7310_onnxrt_nyudepthv2_MiDaS_midas-small_onnx,ONR-DE-7310-depth-est-midas-small-256x256
62,kd-7000,onnxrt,human_pose_estimation,512,mobilenetv2_fpn_spp_udp_512_20210610.onnx,accuracy_ap[.5:.95]%,41.256706,43.144731,42.31,1,0,0,kd-7000_onnxrt_coco_edgeai-mmpose_mobilenetv2_fpn_spp_udp_512_20210610_onnx,ONR-KD-7000-human-pose-ae-mobv2-fpn-spp-udp-512x512
63,kd-7010,onnxrt,human_pose_estimation,512,resnet50_fpn_spp_udp_512_20210610.onnx,accuracy_ap[.5:.95]%,50.869922,51.329873,50.4,1,0,0,kd-7010_onnxrt_coco_edgeai-mmpose_resnet50_fpn_spp_udp_512_20210610_onnx,ONR-KD-7010-human-pose-ae-res50v2-fpn-spp-udp-512x512
64,kd-7020,onnxrt,human_pose_estimation,512,mobilenetv2_pan_spp_udp_512_20210617.onnx,accuracy_ap[.5:.95]%,38.456135,45.680238,45.41,1,0,0,kd-7020_onnxrt_coco_edgeai-mmpose_mobilenetv2_pan_spp_udp_512_20210617_onnx,ONR-KD-7020-human-pose-ae-mobv2-pan-spp-udp-512x512
65,kd-7040,onnxrt,human_pose_estimation,640,yolov5s6_pose_640_ti_lite_54p9_82p2.onnx,accuracy_ap[.5:.95]%,53.70405,53.70405,54.9,1,0,0,kd-7040_onnxrt_coco_edgeai-yolov5_yolov5s6_pose_640_ti_lite_54p9_82p2_onnx,ONR-KD-7040-human-pose-yolov5s6-640x640
66,kd-7050,onnxrt,human_pose_estimation,640,yolov5s6_pose_640_ti_lite_54p9_82p2.onnx,accuracy_ap[.5:.95]%,48.306176,53.915557,54.9,1,0,0,kd-7050_onnxrt_coco_edgeai-yolov5_yolov5s6_pose_640_ti_lite_54p9_82p2_onnx,ONR-KD-7050-human-pose-yolov5s6-mixp-640x640
67,kd-7060,onnxrt,human_pose_estimation,640,yolox_s_pose_ti_lite_49p5_78p0.onnx,accuracy_ap[.5:.95]%,49.692927,51.168956,49.5,1,0,0,kd-7060_onnxrt_coco_edgeai-yolox_yolox_s_pose_ti_lite_49p5_78p0_onnx,ONR-KD-7060-human-pose-yolox-s-640x640
68,od-2000,tflitert,detection,300x300,ssd_mobilenet_v1_coco_20180128.tflite,accuracy_ap[.5:.95]%,21.630209,26.138642,23,1,0,0,od-2000_tflitert_coco_mlperf_ssd_mobilenet_v1_coco_20180128_tflite,TFL-OD-2000-ssd-mobV1-coco-mlperf-300x300
69,od-2010,tflitert,detection,300x300,ssd_mobilenet_v2_300_float.tflite,accuracy_ap[.5:.95]%,19.733672,26.41622,22,1,0,0,od-2010_tflitert_coco_mlperf_ssd_mobilenet_v2_300_float_tflite,TFL-OD-2010-ssd-mobV2-coco-mlperf-300x300
70,od-2020,tflitert,detection,320x320,ssdlite_mobiledet_dsp_320x320_coco_20200519.tflite,accuracy_ap[.5:.95]%,34.908884,35.843616,28.9,1,0,0,od-2020_tflitert_coco_tf1-models_ssdlite_mobiledet_dsp_320x320_coco_20200519_tflite,TFL-OD-2020-ssdLite-mobDet-DSP-coco-320x320
71,od-2030,tflitert,detection,320x320,ssdlite_mobiledet_edgetpu_320x320_coco_20200519.tflite,accuracy_ap[.5:.95]%,30.226283,30.87854,25.9,1,0,0,od-2030_tflitert_coco_tf1-models_ssdlite_mobiledet_edgetpu_320x320_coco_20200519_tflite,TFL-OD-2030-ssdLite-mobDet-EdgeTPU-coco-320x320
72,od-2060,tflitert,detection,300x300,ssdlite_mobilenet_v2_coco_20180509.tflite,accuracy_ap[.5:.95]%,19.099282,25.894334,22,1,0,0,od-2060_tflitert_coco_tf1-models_ssdlite_mobilenet_v2_coco_20180509_tflite,TFL-OD-2060-ssdlite-mobV2-coco-300x300
73,od-2070,tflitert,detection,640x640,ssd_mobilenet_v1_fpn_640x640_coco17_tpu-8.tflite,accuracy_ap[.5:.95]%,24.742394,26.440314,29.1,1,0,0,od-2070_tflitert_coco_tf2-models_ssd_mobilenet_v1_fpn_640x640_coco17_tpu-8_tflite,TFL-OD-2070-ssd-mobV1-fpn-coco-tpu-8-640x640
74,od-2080,tflitert,detection,320x320,ssd_mobilenet_v2_fpnlite_320x320_coco17_tpu-8.tflite,accuracy_ap[.5:.95]%,18.846728,20.833361,22.2,1,0,0,od-2080_tflitert_coco_tf2-models_ssd_mobilenet_v2_fpnlite_320x320_coco17_tpu-8_tflite,TFL-OD-2080-ssd-mobV2-fpnlite-coco-tpu-8-320x320
75,od-2090,tflitert,detection,640x640,ssd_mobilenet_v2_fpnlite_640x640_coco17_tpu-8.tflite,accuracy_ap[.5:.95]%,18.799703,25.629898,28.2,1,0,0,od-2090_tflitert_coco_tf2-models_ssd_mobilenet_v2_fpnlite_640x640_coco17_tpu-8_tflite,TFL-OD-2090-ssd-mobV2-fpnlite-coco-tpu-8-640x640
76,od-2110,tflitert,detection,512x512,efficientdet-lite0_bifpn_maxpool2x2_relu_ti-lite.tflite,accuracy_ap[.5:.95]%,25.077562,28.091638,33.61,1,0,0,od-2110_tflitert_coco_google-automl_efficientdet-lite0_bifpn_maxpool2x2_relu_ti-lite_tflite,TFL-OD-2110-efficient-det-ti-lite0-512x512
77,od-2130,tflitert,detection,300x300,ssd_mobilenet_v2_320x320_coco17_tpu-8.tflite,accuracy_ap[.5:.95]%,18.627765,18.892926,20.2,1,0,0,od-2130_tflitert_coco_tf2-models_ssd_mobilenet_v2_320x320_coco17_tpu-8_tflite,TFL-OD-2130-ssd-mobV2-coco-tpu-8-320x320
78,od-2150,tflitert,detection,384x384,efficientdet_lite1_relu.tflite,accuracy_ap[.5:.95]%,25.251242,26.694776,31.79,1,0,0,od-2150_tflitert_coco_google-automl_efficientdet_lite1_relu_tflite,TFL-OD-2150-efficientdet-lite1-relu-384x384
79,od-2170,tflitert,detection,512x512,efficientdet_lite3_relu.tflite,accuracy_ap[.5:.95]%,0.001645,33.854568,38.33,1,0,0,od-2170_tflitert_coco_google-automl_efficientdet_lite3_relu_tflite,TFL-OD-2170-efficientdet-lite3-relu-512x512
80,od-5020,tvmdlr,detection,416x416,yolo3_mobilenet1.0_coco-symbol.json,accuracy_ap[.5:.95]%,23.606296,28.098678,28.6,3,0,0,od-5020_tvmdlr_coco_gluoncv-mxnet_yolo3_mobilenet1.0_coco-symbol_json,TVM-OD-5020-yolov3-mobv1-gluon-mxnet-416x416
81,od-5040,tvmdlr,detection,512x512,ssd_512_mobilenet1.0_coco-symbol.json,accuracy_ap[.5:.95]%,20.768702,21.513341,21.7,1,0,0,od-5040_tvmdlr_coco_gluoncv-mxnet_ssd_512_mobilenet1.0_coco-symbol_json,TVM-OD-5040-ssd-mobv1-coco-gluon-mxnet-512x512
82,od-8020,onnxrt,detection,512x512,ssd_mobilenetv2_lite_512x512_20201214_model.onnx,accuracy_ap[.5:.95]%,19.322142,20.633766,25.1,1,0,0,od-8020_onnxrt_coco_edgeai-mmdet_ssd_mobilenetv2_lite_512x512_20201214_model_onnx,ONR-OD-8020-ssd-lite-mobv2-mmdet-coco-512x512
83,od-8030,onnxrt,detection,512x512,ssd_mobilenetv2_fpn_lite_512x512_20201110_model.onnx,accuracy_ap[.5:.95]%,21.144767,23.136455,27.2,1,0,0,od-8030_onnxrt_coco_edgeai-mmdet_ssd_mobilenetv2_fpn_lite_512x512_20201110_model_onnx,ONR-OD-8030-ssd-lite-mobv2-fpn-mmdet-coco-512x512
84,od-8040,onnxrt,detection,320x320,ssd_regnetx-200mf_fpn_bgr_lite_320x320_20201010_model.onnx,accuracy_ap[.5:.95]%,16.727615,17.338866,20.7,1,0,0,od-8040_onnxrt_coco_edgeai-mmdet_ssd_regnetx-200mf_fpn_bgr_lite_320x320_20201010_model_onnx,ONR-OD-8040-ssd-lite-regNetX-200mf-fpn-bgr-mmdet-coco-320x320
85,od-8050,onnxrt,detection,512x512,ssd_regnetx-800mf_fpn_bgr_lite_512x512_20200919_model.onnx,accuracy_ap[.5:.95]%,26.957051,28.558456,32.8,1,0,0,od-8050_onnxrt_coco_edgeai-mmdet_ssd_regnetx-800mf_fpn_bgr_lite_512x512_20200919_model_onnx,ONR-OD-8050-ssd-lite-regNetX-800mf-fpn-bgr-mmdet-coco-512x512
86,od-8060,onnxrt,detection,768x768,ssd_regnetx-1.6gf_fpn_bgr_lite_768x768_20200923_model.onnx,accuracy_ap[.5:.95]%,30.399831,32.233991,37,1,0,0,od-8060_onnxrt_coco_edgeai-mmdet_ssd_regnetx-1.6gf_fpn_bgr_lite_768x768_20200923_model_onnx,ONR-OD-8060-ssd-lite-regNetX-1.6gf-fpn-bgr-mmdet-coco-768x768
87,od-8070,onnxrt,detection,416x416,yolov3_d53_relu_416x416_20210117_model.onnx,accuracy_ap[.5:.95]%,18.332383,19.122829,30.7,1,0,0,od-8070_onnxrt_coco_edgeai-mmdet_yolov3_d53_relu_416x416_20210117_model_onnx,ONR-OD-8070-yolov3-d53-relu-mmdet-coco-416x416
88,od-8080,onnxrt,detection,512x512,yolov3_regnetx-1.6gf_bgr_lite_512x512_20210202_model.onnx,accuracy_ap[.5:.95]%,30.241572,30.706307,30.7,1,0,0,od-8080_onnxrt_coco_edgeai-mmdet_yolov3_regnetx-1.6gf_bgr_lite_512x512_20210202_model_onnx,ONR-OD-8080-yolov3-lite-regNetX-1.6gf-bgr-mmdet-coco-512x512
89,od-8090,onnxrt,detection,512x512,retinanet_regnetx-800mf_fpn_bgr_lite_512x512_20200908_model.onnx,accuracy_ap[.5:.95]%,30.871175,31.6102,33,1,0,0,od-8090_onnxrt_coco_edgeai-mmdet_retinanet_regnetx-800mf_fpn_bgr_lite_512x512_20200908_model_onnx,ONR-OD-8090-retina-lite-regNetX-800mf-fpn-bgr-mmdet-coco-512x512
90,od-8100,onnxrt,detection,640,yolov5s6_640_ti_lite_37p4_56p0.onnx,accuracy_ap[.5:.95]%,35.802112,36.754834,37.4,1,0,0,od-8100_onnxrt_coco_edgeai-yolov5_yolov5s6_640_ti_lite_37p4_56p0_onnx,ONR-OD-8100-yolov5-s6-ti-lite-coco-640x640
91,od-8110,onnxrt,detection,384,yolov5s6_384_ti_lite_32p8_51p2.onnx,accuracy_ap[.5:.95]%,31.096033,31.917617,32.8,1,0,0,od-8110_onnxrt_coco_edgeai-yolov5_yolov5s6_384_ti_lite_32p8_51p2_onnx,ONR-OD-8110-yolov5-s6-ti-lite-coco-384x384
92,od-8120,onnxrt,detection,640,yolov5m6_640_ti_lite_44p1_62p9.onnx,accuracy_ap[.5:.95]%,41.583041,43.397416,44.1,1,0,0,od-8120_onnxrt_coco_edgeai-yolov5_yolov5m6_640_ti_lite_44p1_62p9_onnx,ONR-OD-8120-yolov5-m6-ti-lite-coco-640x640
93,od-8140,onnxrt,detection,640,yolox-s-ti-lite_39p1_57p9.onnx,accuracy_ap[.5:.95]%,32.971477,34.64068,39.1,1,0,0,od-8140_onnxrt_coco_edgeai-yolox_yolox-s-ti-lite_39p1_57p9_onnx,ONR-OD-8140-yolox-s-ti-lite_640x640
94,od-8150,onnxrt,detection,640,yolox_m_ti_lite_45p5_64p2.onnx,accuracy_ap[.5:.95]%,38.525937,40.99031,45.5,1,0,0,od-8150_onnxrt_coco_edgeai-yolox_yolox_m_ti_lite_45p5_64p2_onnx,ONR-OD-8140-yolox-m-ti-lite_640x640
95,od-8180,onnxrt,detection,416,yolox_tiny_ti_lite_32p0_49p5.onnx,accuracy_ap[.5:.95]%,30.749541,31.623969,32,1,0,0,od-8180_onnxrt_coco_edgeai-yolox_yolox_tiny_ti_lite_32p0_49p5_onnx,ONR-OD-8140-yolox-tiny-ti-lite_416x416
96,od-8190,onnxrt,detection,416,yolox_nano_ti_lite_26p1_41p8.onnx,accuracy_ap[.5:.95]%,24.86721,25.714061,25.8,1,0,0,od-8190_onnxrt_coco_edgeai-yolox_yolox_nano_ti_lite_26p1_41p8_onnx,ONR-OD-8140-yolox-nano-ti-lite_416x416
97,od-8200,onnxrt,detection,416,yolox_nano_lite_416x416_20220214_model.onnx,accuracy_ap[.5:.95]%,19.794087,20.642125,24.8,1,0,0,od-8200_onnxrt_coco_edgeai-mmdet_yolox_nano_lite_416x416_20220214_model_onnx,ONR-OD-8200-yolox-nano-lite-mmdet-coco-416x416
